date,points,fgp,result
2013-04-17,30,.320,W (+3)
2013-10-30,21,.438,W (+13)
2013-11-01,34,.647,W (+8)
2013-11-02,23,.467,W (+11)
2013-11-04,15,.375,L (-19)
2013-11-05,33,.611,W (+15)
2013-11-07,35,.375,L (-1)
2013-11-09,12,.267,L (-13)
2013-11-11,26,.368,W (+6)
2013-11-14,36,.529,L (-6)
2013-11-16,17,.313,W (+3)
2013-11-19,15,.625,W (+11)
2013-11-20,23,.429,W (+24)
2013-11-29,9,.250,L (-3)
2013-11-30,31,.526,W (+11)
2013-12-02,37,.545,W (+7)
2013-12-04,14,.176,W (+29)
2013-12-06,34,.591,W (+19)
2013-12-08,27,.412,W (+6)
2013-12-12,25,.444,L (-6)
2013-12-13,26,.409,L (-9)
2013-12-15,25,.444,W (+22)
2013-12-18,19,.538,W (+10)
2013-12-20,12,.214,L (-7)
2013-12-25,28,.688,W (+4)
2013-12-26,27,.222,L (-15)
2013-12-28,21,.412,W (+15)
2013-12-29,8,.222,L (-33)
2013-12-31,38,.462,W (+17)
2014-01-03,37,.526,L (-7)
2014-01-08,38,.609,W (+13)
2014-01-10,25,.429,W (+8)
2014-01-11,25,.500,W (+9)
2014-01-13,16,.333,L (-31)
2014-01-15,26,.500,L (-4)
2014-01-16,16,.375,W (+2)
2014-01-18,22,.438,W (+14)
2014-01-20,22,.467,L (-3)
2014-01-22,24,.438,W (+7)
2014-01-24,10,.182,W (+12)
2014-01-25,16,.462,W (+3)
2014-02-01,28,.588,L (-12)
2014-02-05,23,.400,W (+10)
2014-02-08,22,.429,W (+13)
2014-02-10,19,.286,W (+21)
2014-02-12,35,.571,L (-1)
2014-02-19,29,.556,L (-18)
2014-02-20,39,.519,W (+7)
2014-02-23,23,.400,W (+2)
2014-02-25,43,.550,W (+14)
2014-02-26,18,.375,W (+14)
2014-03-01,20,.438,W (+6)
2014-03-04,21,.600,W (+18)
2014-03-05,31,.579,W (+1)
2014-03-07,28,.588,W (+26)
2014-03-09,41,.429,L (-3)
2014-03-11,28,.429,W (+3)
2014-03-13,8,.286,W (+26)
2014-03-16,30,.438,L (-8)
2014-03-17,15,.500,W (+8)
2014-03-20,28,.563,W (+3)
2014-03-22,37,.600,W (+12)
2014-03-24,31,.579,W (+26)
2014-03-27,26,.529,W (+5)
2014-03-29,32,.409,L (-8)
2014-04-01,26,.400,L (-24)
2014-04-02,26,.412,L (-9)
2014-04-04,39,.409,W (+38)
2014-04-06,32,.391,W (+23)
2014-04-08,33,.667,W (+7)
2014-04-09,10,.111,W (+11)
2014-04-11,33,.500,W (+22)
2014-04-12,33,.455,L (-11)
2014-04-14,16,.250,L (-9)
2014-10-28,32,.412,W (+18)
2014-10-29,18,.333,W (+11)
2014-11-01,26,.357,W (+14)
2014-11-03,35,.389,W (+11)
2014-11-04,25,.462,W (+17)
2014-11-06,20,.533,W (+17)
2014-11-08,22,.333,L (-11)
2014-11-12,23,.348,W (+12)
2014-11-14,35,.417,W (+1)
2014-11-16,19,.294,W (+4)
2014-11-17,6,.125,L (-26)
2014-11-19,24,.636,L (-6)
2014-11-22,32,.444,W (+3)
2014-11-24,36,.500,W (+5)
2014-11-26,26,.323,W (+13)
2014-11-28,16,.417,L (-17)
2014-11-29,34,.643,W (+14)
2014-12-03,21,.545,W (+9)
2014-12-05,38,.647,W (+2)
2014-12-06,15,.238,W (+5)
2014-12-10,34,.519,L (-12)
2014-12-11,44,.438,W (+4)
2014-12-13,24,.350,W (+12)
2014-12-17,41,.524,W (+4)
2014-12-18,21,.348,L (-9)
2014-12-20,18,.313,L (-7)
2014-12-22,44,.538,W (+15)
2014-12-26,32,.588,W (+6)
2014-12-28,28,.556,L (-4)
2014-12-29,33,.522,L (-1)
2014-12-31,36,.632,W (+19)
2015-01-02,11,.385,L (-28)
2015-01-03,28,.529,W (+36)
2015-01-05,20,.318,L (-9)
2015-01-07,21,.333,W (+12)
2015-01-08,25,.471,W (+24)
2015-01-10,30,.571,W (+15)
2015-01-12,30,.692,W (+14)
2015-01-14,26,.625,L (-7)
2015-01-15,31,.600,W (+11)
2015-01-17,12,.267,L (-25)
2015-01-19,45,.667,W (+12)
2015-01-21,33,.444,L (-13)
2015-01-23,33,.444,W (+2)
2015-01-25,37,.600,W (+12)
2015-01-28,17,.500,W (+5)
2015-01-30,14,.190,W (+6)
2015-01-31,26,.588,L (-13)
2015-02-04,27,.450,W (+11)
2015-02-06,33,.643,W (+6)
2015-02-08,45,.440,L (-11)
2015-02-10,40,.565,W (+9)
2015-02-11,9,.250,L (-15)
2015-02-20,26,.429,L (-11)
2015-02-21,20,.417,W (+22)
2015-02-23,31,.350,W (+11)
2015-02-25,21,.308,W (+5)
2015-02-27,15,.267,W (+4)
2015-03-01,33,.444,W (+2)
2015-03-04,18,.438,L (-8)
2015-03-06,38,.476,L (-2)
2015-03-07,28,.421,W (+10)
2015-03-11,18,.368,W (+14)
2015-03-12,15,.231,L (-5)
2015-03-15,34,.438,L (-18)
2015-03-17,17,.286,W (+2)
2015-03-19,50,.444,W (+13)
2015-03-21,16,.263,W (+10)
2015-03-23,44,.476,L (-15)
2015-03-25,25,.450,W (+10)
2015-03-27,33,.474,W (+2)
2015-03-29,24,.350,W (+10)
2015-03-30,31,.409,W (+8)
2015-04-01,51,.640,L (-3)
2015-04-02,24,.400,W (+4)
2015-04-05,41,.545,W (+7)
2015-04-08,22,.400,W (+3)
2015-04-10,16,.263,L (-12)
2015-04-12,30,.556,L (-1)
2015-04-13,29,.350,W (+7)
2015-04-15,16,.375,W (+10)
2015-10-28,22,.286,L (-20)
2015-10-30,16,.222,L (-20)
2015-11-01,16,.133,L (-20)
2015-11-02,37,.462,W (+5)
2015-11-04,28,.273,W (+5)
2015-11-06,43,.565,W (+6)
2015-11-07,46,.538,W (+4)
2015-11-11,23,.364,L (-8)
2015-11-13,28,.474,L (-9)
2015-11-14,25,.238,L (-12)
2015-11-16,16,.400,L (-16)
2015-11-18,45,.379,W (+5)
2015-11-20,22,.467,L (-12)
2015-11-21,24,.400,L (-5)
2015-11-25,40,.632,L (-9)
2015-11-27,50,.500,W (+2)
2015-11-29,26,.357,W (+5)
2015-11-30,29,.400,L (-11)
2015-12-02,24,.350,W (+7)
2015-12-04,25,.435,W (+4)
2015-12-05,31,.429,W (+7)
2015-12-08,10,.222,L (-5)
2015-12-09,42,.565,W (+6)
2015-12-12,30,.524,W (+29)
2015-12-14,24,.450,L (-6)
2015-12-15,33,.556,L (-10)
2015-12-17,25,.292,W (+20)
2015-12-19,18,.308,W (+10)
2015-12-21,36,.563,W (+7)
2015-12-23,31,.667,L (-3)
2015-12-25,20,.333,W (+4)
2015-12-26,25,.381,L (-2)
2015-12-29,26,.375,L (-6)
2015-12-31,30,.421,L (-4)
2016-01-02,17,.600,L (-18)
2016-01-04,30,.360,W (+2)
2016-01-07,33,.520,W (+9)
2016-01-10,21,.400,W (+4)
2016-01-12,25,.462,W (+16)
2016-01-13,27,.364,W (+3)
2016-01-15,11,.200,L (-14)
2016-01-17,31,.588,W (+17)
2016-01-18,20,.417,L (-8)
2016-01-20,33,.409,L (-9)
2016-01-22,30,.600,W (+4)
2016-01-24,23,.389,W (+11)
2016-01-25,35,.550,W (+1)
2016-01-27,20,.500,L (-31)
2016-01-29,33,.364,L (-8)
2016-01-30,40,.600,L (-1)
2016-02-02,26,.526,W (+13)
2016-02-04,17,.211,W (+6)
2016-02-06,33,.389,L (-17)
2016-02-09,37,.476,L (-13)
2016-02-10,34,.500,L (-13)
2016-02-19,27,.375,W (+16)
2016-02-23,42,.533,L (-3)
2016-02-25,46,.615,W (+14)
